"Qty","Reference","Value","Datasheet","Manufacturer","Part Number","Footprint"
"1","C2","100µF","https://www.mouser.com/catalog/specsheets/Chemi-Con_MVHRA_e.pdf","Chemi-Con","EMVH500ARA101MJA0G","Capacitor_SMD:CP_Elec_10x10"
"1","C19","470nF","https://weblib.samsungsem.com/mlcc/mlcc-ec-data-sheet.do?partNumber=CL21B474KBFNNN","Samsung Electro-Mechanics","CL21B474KBFNNNE","Capacitor_SMD:C_0805_2012Metric"
"4","C1,C17,C25,C26","1µF","https://product.samsungsem.com/mlcc/CL21B105KBFNNN.do","Samsung Electro-Mechanics ","CL21B105KBFNNNG","Capacitor_SMD:C_0805_2012Metric"
"5","C3,C6,C9,C11,C27","10µF","https://www.mouser.fr/datasheet/3/76/1/GRM21BR61H106KE43_01A.pdf","Murata","GRM21BR61H106KE43L","Capacitor_SMD:C_0805_2012Metric"
"15","C4,C5,C7,C8,C10,C12,C13,C14,C15,C18,C20,C21,C22,C23,C24","100nF","https://product.samsungsem.com/mlcc/CL21B105KBFNNN.do","Samsung Electro-Mechanics","CL21B104KBFNNNG","Capacitor_SMD:C_0805_2012Metric"
"1","D1","LED Bleue","https://www.mouser.fr/datasheet/3/308/1/APTD2012LQBC_D.pdf","Kingbright","APTD2012LQBC/D","LED_SMD:LED_0805_2012Metric"
"1","D2","LED Rouge","https://www.mouser.fr/datasheet/3/308/1/APTD2012LSURCK.pdf","Kingbright","APTD2012LSURCK","LED_SMD:LED_0805_2012Metric"
"1","D5","MMSZ3V3T1G","https://www.onsemi.com/pdf/datasheet/mmsz2v4t1-d.pdf","ONSemi","MMSZ3V3T1G","Diode_SMD:D_SOD-123"
"2","D3,D4","STPS1230SF","https://www.st.com/resource/en/datasheet/stps1230sf.pdf","STMicroelectronics","STPS1230SF","Package_TO_SOT_SMD:TO-277A"
"1","F1","Fuse - 5A","https://www.mouser.fr/datasheet/3/201/1/3568.pdf","Keystone Electronics","3568","3568:3568"
"1","FB1","7427928801","https://www.we-online.com/components/products/datasheet/7427928801.pdf","Wurth","7427928801","Capacitor_SMD:C_2220_5750Metric"
